Artist Name,Artist URI,Track Name,Track URI,Album,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Embed Code
Foreigner,6IRouO5mvvfcyxtPDKMYFN,I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,Agent Provocateur,6,1,0.477,0.471,-10.036,0.0277,0.193,1.76e-06,0.131,0.423,81.204,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: I Want to Know What Love Is - 1999 Remaster"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/1JLn8RhQzHz3qDqsChcmBl?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,Waiting for a Girl like You,2OgVsp77En2nju8pnCieVU,4 (Expanded),10,0,0.33,0.469,-9.286,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Waiting for a Girl like You"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2OgVsp77En2nju8pnCieVU?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,Cold as Ice,7vidktgNZFQylTgH1GEnMs,Foreigner (Expanded),3,0,0.562,0.609,-7.063,0.0271,0.0264,0,0.17,0.512,130.753,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Cold as Ice"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/7vidktgNZFQylTgH1GEnMs?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,Juke Box Hero,00qOE7OjRl0BpYiCiweZB2,4 (Expanded),9,1,0.357,0.653,-5.554,0.0654,0.0828,0,0.0844,0.522,176.647,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Juke Box Hero"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/00qOE7OjRl0BpYiCiweZB2?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,Hot Blooded,6xMHglHoafdDFGXS6qfwSH,Double Vision (Expanded),0,1,0.705,0.806,-4.83,0.0814,0.229,0,0.0676,0.763,117.945,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Hot Blooded"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6xMHglHoafdDFGXS6qfwSH?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,Urgent,08onVqQ8YicJ98Ycm1qoLf,4 (Expanded),4,0,0.855,0.803,-5.849,0.0316,0.342,0.00732,0.0841,0.962,114.867,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Urgent"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/08onVqQ8YicJ98Ycm1qoLf?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,That Was Yesterday,4nwUQZbmWMkYzKrXgWRIEw,Agent Provocateur,8,0,0.431,0.683,-7.417,0.0293,0.0477,8.19e-06,0.213,0.506,114.877,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: That Was Yesterday"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4nwUQZbmWMkYzKrXgWRIEw?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,I Don't Want to Live Without You,19aYH2zhbnTNx4plfenrIk,Inside Information,11,1,0.431,0.522,-8.625,0.0295,0.436,1.91e-05,0.109,0.233,199.786,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: I Don&apos;t Want to Live Without You"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/19aYH2zhbnTNx4plfenrIk?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,I Want to Know What Love Is,04OjLvOApQve45B0ISx4XN,Feels Like The First Time,3,0,0.445,0.554,-7.793,0.0315,0.231,0,0.0685,0.229,162.081,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: I Want to Know What Love Is"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/04OjLvOApQve45B0ISx4XN?utm_source=oembed""></iframe>"
Foreigner,6IRouO5mvvfcyxtPDKMYFN,Double Vision,0fsj3HxzBHev6EJ7OLFE3r,Double Vision (Expanded),9,0,0.682,0.711,-7.637,0.0325,0.179,9.53e-05,0.126,0.766,129.546,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Double Vision"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0fsj3HxzBHev6EJ7OLFE3r?utm_source=oembed""></iframe>"
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Can't Fight This Feeling,5WwqdeavrQrbeAMDxGawse,Wheels Are Turnin',9,1,0.408,0.48,-11.017,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Can&apos;t Fight This Feeling"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5WwqdeavrQrbeAMDxGawse?utm_source=oembed""></iframe>"
